,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
11668,11669,The Curators of Dixon School,2012,,9.6,43,Documentary,0,1
13797,13798,Pain Warriors,2019,,9.3,50,Documentary,0,1
20751,20752,June & Kopi,2021,,nan,na,Comedy,1,0
20861,20862,June & Kopi,2021,,nan,na,Drama,1,0
21563,21564,Rocanrol Cowboys,2021,,nan,48,Documentary,1,0
12656,12657,El Boxeo,2013,,9.3,42,Documentary,0,1
14158,14159,The Circus: Down the Road,2019,,9.2,40,Documentary,0,1
14537,14538,Where's Daddy?,2017,,9.2,44,Documentary,0,1
13766,13767,Escape from Firebase Kate,2015,,9.2,51,Documentary,0,1
13777,13778,"Down, But Not Out!",2015,,9.2,47,Documentary,0,1
19033,19034,RWBY: Volume 3,2016,13+,8.7,51,Action,0,1
22871,22872,Canvas,2021,,nan,31,Drama,1,0
15799,15800,Land of Little Rivers,2019,,9.1,43,Documentary,0,1
15620,15621,They Come to America IV: Immigration & Politics,2020,,9,43,Documentary,0,1
13975,13976,"Curiosity, Adventure and Love",2016,,9,47,Documentary,0,1
15953,15954,Healing Voices,2016,,9,45,Documentary,0,1
12477,12478,7 Days in Syria,2015,,9,56,Documentary,0,1
15960,15961,An Irish Story: This Is My Home,2020,,8.9,43,Documentary,0,1
13603,13604,Koi,2019,,8.9,46,Documentary,0,1
21909,21910,Rubaru Roshni,2019,,8.9,52,Documentary,1,0
3066,3067,Operation Toussaint: Operation Underground Railroad and the Fight to End Modern Day Slavery,2018,,8.9,49,Documentary,0,1
13389,13390,GRRRL: Beauty Is The Beast,2018,,8.9,44,Documentary,0,1
15615,15616,Saving Atlantis,2018,,8.9,40,Documentary,0,1
11397,11398,Nuyorican Básquet,2017,,8.9,45,Documentary,0,1
15132,15133,Israel's Arab Warriors,2016,,8.9,41,Documentary,0,1
14903,14904,The Jones Family Will Make a Way,2015,,8.9,43,Documentary,0,1
12630,12631,The Siege of Malta,2014,,8.9,41,Documentary,0,1
14371,14372,Alumbrones,2014,,8.9,44,Documentary,0,1
11386,11387,The Creators,2012,,8.9,43,Documentary,0,1
7194,7195,Tails of Iceland,2019,,8.8,34,Documentary,0,1
1065,1066,Dear Bayo,2020,,nan,13,Romance,0,1
4392,4393,Black Jack Pershing: Love and War,2017,,8.8,42,Romance,0,1
10766,10767,Black Jack Pershing: Love and War,2017,,8.8,42,Documentary,0,1
20543,20544,Black Jack Pershing: Love and War,2017,,8.8,42,Drama,0,1
9622,9623,The Mountain II,2016,all,8.8,73,Action,0,1
10819,10820,The Mountain II,2016,all,8.8,73,Drama,0,1
15780,15781,Mekonen: The Journey of an African Jew,2016,,8.8,38,Documentary,0,1
14635,14636,Rangasthalam,2018,13+,8.4,77,Action,0,1
22687,22688,Dangal,2016,7+,8.4,88,Action,1,0
13233,13234,The Dolls of Lisbon,2011,,8.8,46,Documentary,0,1
19030,19031,RWBY: Volume 2,2014,7+,8.4,49,Action,0,1
14228,14229,Jigarthanda,2014,13+,8.3,61,Action,0,1
21395,21396,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020,,8.7,57,Documentary,1,0
21979,21980,Klaus,2019,7+,8.2,90,Action,1,0
14141,14142,Live The Stream: The Story of Joe Humphreys,2018,,8.7,44,Documentary,0,1
12641,12642,The Soul of Success: The Jack Canfield Story,2017,,8.7,49,Documentary,0,1
13677,13678,Theeran Adhigaaram Ondru,2017,18+,8.2,61,Action,0,1
21261,21262,Bāhubali 2: The Conclusion,2017,7+,8.2,81,Action,1,0
18893,18894,True Appaloosa,2015,13+,8.2,42,Action,0,1
13773,13774,Draw Hard,2015,,8.7,36,Documentary,0,1
14751,14752,Shadow Nation,2015,,8.7,42,Documentary,0,1
23009,23010,Queen,2013,13+,8.2,69,Action,1,0
23017,23018,Paan Singh Tomar,2012,7+,8.2,65,Action,1,0
1721,1722,Warrior,2011,13+,8.2,90,Action,0,1
21207,21208,Emicida: AmarElo - It's All for Yesterday,2020,,8.6,64,Documentary,1,0
4173,4174,What Women Want: Gay Romance,2020,,nan,40,Documentary,0,1
24221,24222,K. D.,2019,,8.6,53,Drama,1,0
197,198,In Search of Voodoo: Roots to Heaven,2018,,8.6,42,Documentary,0,1
9087,9088,The Real Fauda,2018,,8.6,45,Documentary,0,1
18065,18066,Skippers,2018,,8.6,47,Comedy,0,1
19544,19545,Requiem for a Fighter,2018,,8.6,50,Drama,0,1
24146,24147,Merku Thodarchi Malai,2018,,8.6,55,Drama,1,0
24605,24606,Ani... Dr. Kashinath Ghanekar,2018,,8.6,49,Drama,1,0
8069,8070,When the Bough Breaks: A Documentary About Postpartum Depression,2017,,8.6,41,Documentary,0,1
14352,14353,Edge of Obedience,2017,,8.6,39,Documentary,0,1
14890,14891,Zakir Khan : Haq Se Single,2017,,8.6,54,Comedy,0,1
19652,19653,When the Bough Breaks: A Documentary About Postpartum Depression,2017,,8.6,41,Drama,0,1
22062,22063,Roll with Me,2017,,8.6,46,Documentary,1,0
11103,11104,The Love Part of This,2015,,8.6,36,Documentary,0,1
18947,18948,Pop Meets the Void,2015,,8.6,45,Comedy,0,1
11380,11381,The Medicine Game,2014,,8.6,37,Documentary,0,1
13784,13785,Weaving the Past: Journey of Discovery,2014,,8.6,40,Documentary,0,1
20592,20593,The Two Thieves,2014,,8.6,43,Drama,0,1
5254,5255,Sixth Man: Bluesanity,2013,,8.6,42,Documentary,0,1
5745,5746,Selena Gomez: Devotion,2020,,nan,17,Documentary,0,1
9787,9788,Angle of Attack,2011,,8.6,38,Documentary,0,1
8053,8054,Collodion: The Process of Preservation,2020,,8.5,48,Documentary,0,1
12224,12225,Streetlight Harmonies,2020,,8.5,38,Documentary,0,1
11411,11412,The Days of Noah Part 1: The Flood,2019,,8.5,42,Documentary,0,1
18518,18519,Steve Trevino: 'Til Death,2019,,8.5,40,Comedy,0,1
12568,12569,Arjun Reddy,2017,18+,8.1,62,Action,0,1
21923,21924,Hikaru Utada Laughter in the Dark Tour 2018,2019,all,8.5,46,Documentary,1,0
23540,23541,True: Happy Hearts Day,2019,all,8.5,39,Action,1,0
11550,11551,Mully,2015,7+,8.1,53,Action,0,1
22699,22700,Haider,2014,13+,8.1,80,Action,1,0
5226,5227,Vada Chennai,2018,,8.5,59,Crime,0,1
12533,12534,Vada Chennai,2018,,8.5,59,Action,0,1
15343,15344,Vada Chennai,2018,,8.5,59,Drama,0,1
22807,22808,Zindagi Na Milegi Dobara,2011,7+,8.1,81,Action,1,0
18393,18394,Aruvi,2017,,8.5,61,Drama,0,1
13972,13973,Who Is Lydia Loveless?,2016,,8.5,41,Documentary,0,1
12612,12613,Pete Correale: Let Me Tell Ya,2015,,8.5,40,Comedy,0,1
13206,13207,Trichster,2015,,8.5,39,Documentary,0,1
15093,15094,Breakfast at Ina's,2015,,8.5,37,Documentary,0,1
18771,18772,Sick Minded,2019,18+,8,46,Action,0,1
17601,17602,Beyond: An African Surf Documentary,2017,7+,8,37,Action,0,1
21599,21600,Bāhubali: The Beginning,2015,13+,8,83,Action,1,0
19031,19032,RWBY: Volume 1,2013,7+,8,48,Action,0,1
8763,8764,Dick Winters: Hang Tough,2012,,8.5,37,Documentary,0,1
13420,13421,Being and Becoming Chua Ek Kay,2012,,8.5,33,Documentary,0,1
8,9,The Avengers,2012,13+,8,94,Action,0,1
14916,14917,The Entertainers,2012,,8.5,42,Documentary,0,1
18227,18228,The Entertainers,2012,,8.5,42,Comedy,0,1
23496,23497,Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,2011,,8.5,51,Comedy,1,0
17341,17342,RWBY: Volume 4,2017,13+,7.9,46,Action,0,1
19259,19260,I'll Never Forget My High School Friends,2020,,8.4,45,Comedy,0,1
1918,1919,Agent Sai Srinivasa Athreya,2019,,8.4,57,Crime,0,1
7191,7192,The Painted Warrior,2019,,8.4,40,Documentary,0,1
7552,7553,Agent Sai Srinivasa Athreya,2019,,8.4,57,Comedy,0,1
9319,9320,Agent Sai Srinivasa Athreya,2019,,8.4,57,Action,0,1
19310,19311,The Painted Warrior,2019,,8.4,40,Drama,0,1
14551,14552,Everything in the Song Is True,2018,,8.4,43,Documentary,0,1
22369,22370,Hunt for the Wilderpeople,2016,13+,7.9,90,Action,1,0
11816,11817,Kaththi,2014,13+,7.9,56,Action,0,1
9124,9125,Luther,2017,,8.4,46,Documentary,0,1
9736,9737,Luther,2017,,8.4,46,Crime,0,1
14333,14334,33 & Beyond: The Royal Art of Freemasonry,2017,,8.4,46,Documentary,0,1
15922,15923,Biswa Kalyan Rath : Biswa Mast Aadmi,2017,,8.4,54,Comedy,0,1
19999,20000,Luther,2017,,8.4,46,Drama,0,1
24234,24235,Love Ni Bhavai,2017,,8.4,55,Comedy,1,0
24487,24488,Love Ni Bhavai,2017,,8.4,55,Drama,1,0
13805,13806,Remember Pearl Harbor,2016,,8.4,37,Documentary,0,1
14911,14912,Limit is the Sky,2016,,8.4,33,Documentary,0,1
15441,15442,Joker,2016,,8.4,54,Comedy,0,1
19287,19288,We Got Lucky,2016,,8.4,42,Comedy,0,1
19526,19527,Joker,2016,,8.4,54,Drama,0,1
20348,20349,Ardaas,2016,,8.4,46,Drama,0,1
14636,14637,Madras,2014,13+,7.9,48,Action,0,1
21457,21458,Nightcrawler,2014,18+,7.9,92,Action,1,0
18009,18010,Swing Lowe Sweet Chariote,2013,18+,7.9,38,Action,0,1
8448,8449,A Sicilian Dream,2015,,8.4,38,Documentary,0,1
11125,11126,Searching For Hell,2015,,8.4,42,Documentary,0,1
12459,12460,Girl Fight: A Muay Thai Story,2015,,8.4,35,Documentary,0,1
19723,19724,A Sicilian Dream,2015,,8.4,38,Drama,0,1
21607,21608,Berserk: The Golden Age Arc III - The Advent,2013,18+,7.9,65,Action,1,0
3969,3970,Ernest & Celestine,2012,7+,7.9,80,Action,0,1
11099,11100,One Little Pill,2014,,8.4,46,Documentary,0,1
12827,12828,Dinner with Lloyd,2014,,8.4,37,Documentary,0,1
12846,12847,Omaha Beach: Honor and Sacrifice,2014,,8.4,37,Documentary,0,1
13041,13042,Life on the V: The Story of V66,2014,,8.4,35,Documentary,0,1
15954,15955,Doolittle's Raiders: A Final Toast,2014,,8.4,34,Documentary,0,1
11760,11761,Eden Burning,2020,,nan,16,Horror,0,1
3613,3614,Peter Frampton: Live in Detroit,2013,,8.4,38,Documentary,0,1
4729,4730,Slaughter Nick for President,2013,,8.4,48,Documentary,0,1
13039,13040,Flakes & Flames,2013,,8.4,41,Documentary,0,1
13558,13559,Slaughter Nick for President,2013,,8.4,48,Comedy,0,1
803,804,The Bus,2012,all,8.4,39,Documentary,0,1
22797,22798,Udta Punjab,2016,18+,7.8,73,Action,1,0
11755,11756,The Deadfall,2012,,8.4,45,Horror,0,1
21099,21100,How to Train Your Dragon 2,2014,7+,7.8,89,Action,1,0
12219,12220,Kindred Creatures,2020,,nan,14,Documentary,0,1
12310,12311,Home,2020,,nan,29,Horror,0,1
12426,12427,Hustle,2020,,nan,23,Crime,0,1
22597,22598,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,18+,7.8,64,Action,1,0
12836,12837,Pot Luck,2020,,nan,15,Documentary,0,1
13202,13203,CBD Nation,2020,,nan,21,Documentary,0,1
13404,13405,The War to End all Wars: And its American Veterans,2020,13+,nan,15,Documentary,0,1
13406,13407,Beyond Driven,2020,,nan,15,Documentary,0,1
3070,3071,Catnip Nation,2020,,8.3,40,Documentary,0,1
14577,14578,Love Mocktail,2020,,8.3,55,Drama,0,1
1181,1182,Mosul,2019,,8.3,70,Action,0,1
20833,20834,Dancing with the Birds,2019,,8.3,55,Documentary,1,0
13780,13781,Manchester United: For the Glory,2020,,nan,14,Documentary,0,1
21,22,Mission: Impossible - Fallout,2018,13+,7.7,84,Action,0,1
13973,13974,Immortality or Bust,2020,,nan,40,Documentary,0,1
14145,14146,Sisu,2020,,nan,13,Documentary,0,1
14151,14152,On the Line: The Race of Champions,2020,,nan,19,Documentary,0,1
11150,11151,Tumbbad,2018,,8.3,84,Drama,0,1
12444,12445,Madagasikara,2018,,8.3,39,Documentary,0,1
12849,12850,I Lived on Parker Avenue,2018,,8.3,40,Documentary,0,1
13785,13786,New York Scherzo,2018,,8.3,34,Documentary,0,1
14934,14935,Man in Camo,2018,,8.3,41,Documentary,0,1
12916,12917,Bharat Ane Nenu,2018,7+,7.7,70,Action,0,1
20796,20797,Andhadhun,2018,,8.3,74,Crime,1,0
22295,22296,Andhadhun,2018,,8.3,74,Comedy,1,0
12743,12744,Almost Sunrise,2017,13+,7.7,60,Action,0,1
6111,6112,An Inspector Calls,2015,7+,7.7,66,Action,0,1
6542,6543,Meru,2015,16+,7.7,80,Action,0,1
1955,1956,Wait for Your Laugh,2017,,8.3,68,Documentary,0,1
8767,8768,Fire and Water,2017,,8.3,40,Documentary,0,1
14750,14751,Underground,2020,,nan,23,Documentary,0,1
12139,12140,Wait for Your Laugh,2017,,8.3,68,Comedy,0,1
12626,12627,"Women of '69, Unboxed",2017,,8.3,39,Documentary,0,1
15880,15881,Fire and Water,2017,,8.3,40,Action,0,1
14930,14931,Magical Reef: The Islands of the Four Kings,2020,,nan,14,Documentary,0,1
23111,23112,Madras Cafe,2013,13+,7.7,60,Action,1,0
24633,24634,Hombanna,2017,,8.3,34,Drama,1,0
15299,15300,The Endless Season,2020,,nan,14,Documentary,0,1
8470,8471,Honky Tonk Heaven: Legend of the Broken Spoke,2016,,8.3,37,Documentary,0,1
15308,15309,In the Shed,2020,,nan,12,Documentary,0,1
12835,12836,Island Earth,2016,,8.3,36,Documentary,0,1
13189,13190,The King's Highway,2016,,8.3,46,Documentary,0,1
15454,15455,Liquor House Comedy presents Brown Sugar Night,2020,,nan,10,Documentary,0,1
6933,6934,Open Tables,2015,,8.3,45,Romance,0,1
15624,15625,Brainwashed: The Secrets of Mind Control,2020,,nan,18,Documentary,0,1
15625,15626,Universal Law of Attraction,2020,,nan,13,Documentary,0,1
15628,15629,It's Rhyme Time,2020,,nan,na,Documentary,0,1
15629,15630,Miracle in the Desert: The Rise and Fall of the Salton Sea,2020,,nan,21,Documentary,0,1
8468,8469,Revival: The Sam Bush Story,2015,,8.3,38,Documentary,0,1
15793,15794,The Big 3,2020,,nan,17,Documentary,0,1
11634,11635,There Will Be No Stay,2015,,8.3,40,Crime,0,1
15952,15953,The Rivers,2020,,nan,17,Documentary,0,1
